"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"Iranian Journal of Public Health","IRAN J PUBLIC HEALTH","IRANIAN SCIENTIFIC SOCIETY MEDICAL ENTOMOLOGY","2251-6085","2251-6093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,622","1.9"," 260/443 ",
"Journal of Immigrant and Minority Health","J IMMIGR MINOR HEALT","SPRINGER","1557-1912","1557-1920","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,569","2.3"," 209/443 ",
"Archives of Public Health","ARCH PUBLIC HEALTH","BMC","0778-7367","2049-3258","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,520","3.4"," 101/443 ",
"Cancer Epidemiology","CANCER EPIDEMIOL","ELSEVIER SCI LTD","1877-7821","1877-783X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","5,498","3"," 133/443 ",
"JOURNAL OF COMMUNITY PSYCHOLOGY","J COMMUNITY PSYCHOL","WILEY","0090-4392","1520-6629","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,400","2.2"," 218/443 ",
"JAMA Health Forum","JAMA-HEALTH FORUM","AMER MEDICAL ASSOC","2689-0186","2689-0186","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,374","12.5"," 9/443 ",
"Lancet Regional Health-Americas","LANCET REG HEALTH-AM","ELSEVIER","2667-193X","2667-193X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","5,339","9.1"," 17/443 ",
"Psychology Health & Medicine","PSYCHOL HEALTH MED","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1354-8506","1465-3966","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,305","2.2"," 218/443 ",
"COMMUNITY MENTAL HEALTH JOURNAL","COMMUNITY MENT HLT J","SPRINGER","0010-3853","1573-2789","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,205","2.1"," 231/443 ",
"JOURNAL OF COMMUNITY HEALTH","J COMMUN HEALTH","SPRINGER","0094-5145","1573-3610","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,135","2.1"," 231/443 ",
"REVISTA DE SAUDE PUBLICA","REV SAUDE PUBL","REVISTA DE SAUDE PUBLICA","0034-8910","1518-8787","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","5,031","2.4"," 193/443 ",
"OCCUPATIONAL MEDICINE-OXFORD","OCCUP MED-OXFORD","OXFORD UNIV PRESS","0962-7480","1471-8405","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","5,004","2.4"," 193/443 ",
"AMERICAN JOURNAL OF HEALTH PROMOTION","AM J HEALTH PROMOT","SAGE PUBLICATIONS INC","0890-1171","2168-6602","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","4,954","2.1"," 231/443 ",
"Current Environmental Health Reports","CURR ENV HLTH REP","SPRINGERNATURE","N/A","2196-5412","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,772","7.9"," 21/443 ",
"NEUROEPIDEMIOLOGY","NEUROEPIDEMIOLOGY","KARGER","0251-5350","1423-0208","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,723","2.9"," 139/443 ",
"Traffic Injury Prevention","TRAFFIC INJ PREV","TAYLOR & FRANCIS INC","1538-9588","1538-957X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,719","2.1"," 231/443 ",
"JOURNAL OF EPIDEMIOLOGY","J EPIDEMIOL","JAPAN EPIDEMIOLOGICAL ASSOC","0917-5040","0917-5040","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,698","2.7"," 160/443 ",
"Translational Behavioral Medicine","TRANSL BEHAV MED","OXFORD UNIV PRESS","1869-6716","1613-9860","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,677","2.8"," 149/443 ",
"INJURY PREVENTION","INJURY PREV","BMJ PUBLISHING GROUP","1353-8047","1475-5785","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,598","1.9"," 260/443 ",
"One Health","ONE HEALTH-AMSTERDAM","ELSEVIER","N/A","2352-7714","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,571","5.3"," 45/443 ",
"HEALTH PHYSICS","HEALTH PHYS","LIPPINCOTT WILLIAMS & WILKINS","0017-9078","1538-5159","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,478","1.2"," 363/443 ",
"VECTOR-BORNE AND ZOONOTIC DISEASES","VECTOR-BORNE ZOONOT","SAGE PUBLICATIONS INC","1530-3667","1557-7759","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,435","1.8"," 273/443 ",
"Disability and Health Journal","DISABIL HEALTH J","ELSEVIER SCIENCE INC","1936-6574","1876-7583","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,352","3"," 133/443 ",
"JOURNAL OF CANCER EDUCATION","J CANCER EDUC","SPRINGER","0885-8195","1543-0154","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,247","1.6"," 301/443 ",
"JOURNAL OF SCHOOL HEALTH","J SCHOOL HEALTH","WILEY","0022-4391","1746-1561","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,246","1.8"," 273/443 ",
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,177","5.5"," 42/443 ",
"AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH","AUST NZ J PUBL HEAL","ELSEVIER SCIENCE INC","1326-0200","1753-6405","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,153","2.9"," 139/443 ",
"Disaster Medicine and Public Health Preparedness","DISASTER MED PUBLIC","CAMBRIDGE UNIV PRESS","1935-7893","1938-744X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,147","1.7"," 287/443 ",
"Global Public Health","GLOB PUBLIC HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1744-1692","1744-1706","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","4,104","2.6"," 173/443 ",
"CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE","CAN J PUBLIC HEALTH","SPRINGER INT PUBL AG","0008-4263","1920-7476","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","4,051","2"," 246/443 ",
"JOURNAL OF HEALTH POPULATION AND NUTRITION","J HEALTH POPUL NUTR","BMC","1606-0997","2072-1315","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,020","3.7"," 89/443 ",
"Prehospital Emergency Care","PREHOSP EMERG CARE","TAYLOR & FRANCIS INC","1090-3127","1545-0066","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,015","2"," 246/443 ",
"JOURNAL OF RURAL HEALTH","J RURAL HEALTH","WILEY","0890-765X","1748-0361","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,956","3.2"," 120/443 ",
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES","J TOXICOL ENV HEAL A","TAYLOR & FRANCIS INC","1528-7394","1087-2620","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,923","2.4"," 193/443 ",
"American Journal of Mens Health","AM J MENS HEALTH","SAGE PUBLICATIONS INC","1557-9883","1557-9891","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,918","2.4"," 193/443 ",
"INDOOR AND BUILT ENVIRONMENT","INDOOR BUILT ENVIRON","SAGE PUBLICATIONS LTD","1420-326X","1423-0070","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,863","2.7"," 160/443 ",
"JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED","J HEALTH CARE POOR U","JOHNS HOPKINS UNIV PRESS","1049-2089","1548-6869","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,856","1.2"," 363/443 ",
"Annals of Global Health","ANN GLOB HEALTH","UBIQUITY PRESS LTD","2214-9996","2214-9996","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,799","5.1"," 51/443 ",
"MMWR Recommendations and Reports","MMWR RECOMM REP","CENTERS DISEASE CONTROL & PREVENTION","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,790","51.3"," 2/443 ",
"Environmental Health and Preventive Medicine","ENVIRON HEALTH PREV","JAPANESE SOC HYGIENE","1342-078X","1347-4715","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,721","2.9"," 139/443 ",
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH","INT J ENVIRON HEAL R","TAYLOR & FRANCIS LTD","0960-3123","1369-1619","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,707","2"," 246/443 ",
"HEALTH EDUCATION RESEARCH","HEALTH EDUC RES","OXFORD UNIV PRESS","0268-1153","1465-3648","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,675","1.6"," 301/443 ",
"American Journal of Lifestyle Medicine","AM J LIFESTYLE MED","SAGE PUBLICATIONS INC","1559-8276","1559-8284","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","3,666","1.9"," 260/443 ",
"International Journal of Qualitative Studies on Health and Well-Being","INT J QUAL STUD HEAL","TAYLOR & FRANCIS LTD","1748-2623","1748-2631","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,645","2.4"," 193/443 ",
"PAEDIATRIC AND PERINATAL EPIDEMIOLOGY","PAEDIATR PERINAT EP","WILEY","0269-5022","1365-3016","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,640","2.7"," 160/443 ",
"JMIR Serious Games","JMIR SERIOUS GAMES","JMIR PUBLICATIONS, INC","2291-9279","2291-9279","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,631","4.7"," 56/443 ",
"Health Promotion Practice","HEALTH PROMOT PRACT","SAGE PUBLICATIONS INC","1524-8399","1552-6372","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","3,572","1.5"," 325/443 ",
"BIOMEDICAL AND ENVIRONMENTAL SCIENCES","BIOMED ENVIRON SCI","CHINESE CENTER DISEASE CONTROL & PREVENTION","0895-3988","2214-0190","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,537","4.5"," 58/443 ",
"Current Pollution Reports","CURR POLLUT REP","SPRINGER HEIDELBERG","2198-6592","2198-6592","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,523","9.3"," 15/443 ",
"MMWR Surveillance Summaries","MMWR SURVEILL SUMM","CENTERS DISEASE CONTROL & PREVENTION","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,511","96.9"," 1/443 ",
"Travel Medicine and Infectious Disease","TRAVEL MED INFECT DI","ELSEVIER SCI LTD","1477-8939","1873-0442","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,506","5.6"," 40/443 ",
"WOMENS HEALTH ISSUES","WOMEN HEALTH ISS","ELSEVIER SCIENCE INC","1049-3867","1878-4321","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,470","2.6"," 173/443 ",
"International Journal of Transgender Health","INT J TRANSGEND HEAL","TAYLOR & FRANCIS INC","2689-5269","2689-5277","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,422","8.4"," 19/443 ",
"EASTERN MEDITERRANEAN HEALTH JOURNAL","E MEDITERR HEALTH J","WHO EASTERN MEDITERRANEAN REGIONAL OFFICE","1020-3397","1687-1634","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,394","1.9"," 260/443 ",
"JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","J PUBLIC HEALTH MAN","LIPPINCOTT WILLIAMS & WILKINS","1078-4659","1550-5022","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,353","1.7"," 287/443 ",
"Clinical Epidemiology and Global Health","CLIN EPIDEMIOL GLOB","ELSEVIER - DIVISION REED ELSEVIER INDIA PVT LTD","2452-0918","2213-3984","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","3,341","1.9"," 260/443 ",
"AIDS PATIENT CARE AND STDS","AIDS PATIENT CARE ST","SAGE PUBLICATIONS INC","1087-2914","1557-7449","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,337","4.4"," 60/443 ",
"REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH","REV PANAM SALUD PUBL","PAN AMER HEALTH ORGANIZATION","1020-4989","1680-5348","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,326","1.7"," 287/443 ",
"Journal of Public Health-Heidelberg","J PUBLIC HEALTH-HEID","SPRINGER HEIDELBERG","2198-1833","1613-2238","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","3,322","1.6"," 301/443 ",
"China CDC Weekly","CHINA CDC WEEKLY","Chinese Center for Disease Control and Prevention","2096-7071","2097-3101","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,308","3.5"," 96/443 ",
"Analytic Methods in Accident Research","ANAL METHODS ACCID R","ELSEVIER","2213-6657","2213-6665","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,277","10.7"," 12/443 ",
"REVIEWS ON ENVIRONMENTAL HEALTH","REV ENVIRON HEALTH","WALTER DE GRUYTER GMBH","0048-7554","2191-0308","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,253","5.2"," 46/443 ",
"Journal of Epidemiology and Global Health","J EPIDEMIOL GLOB HEA","SPRINGERNATURE","2210-6006","2210-6014","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,226","4"," 79/443 ",
"INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT","INT J HEALTH PLAN M","WILEY","0749-6753","1099-1751","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,226","2.5"," 186/443 ",
"EPIDEMIOLOGIC REVIEWS","EPIDEMIOL REV","OXFORD UNIV PRESS INC","0193-936X","1478-6729","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,177","9.6"," 13/443 ",
"Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz","BUNDESGESUNDHEITSBLA","SPRINGER","1436-9990","1437-1588","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,104","1.6"," 301/443 ",
"International Journal of Health Geographics","INT J HEALTH GEOGR","BMC","1476-072X","1476-072X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,096","4.1"," 75/443 ",
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES","J ENVIRON SCI HEAL B","TAYLOR & FRANCIS INC","0360-1234","1532-4109","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,081","2"," 246/443 ",
"International Journal of Occupational Safety and Ergonomics","INT J OCCUP SAF ERGO","TAYLOR & FRANCIS LTD","1080-3548","2376-9130","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","3,081","1.8"," 273/443 ",
"LGBT Health","LGBT HEALTH","SAGE PUBLICATIONS INC","2325-8292","2325-8306","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,070","3.1"," 128/443 ",
"JOURNAL OF OCCUPATIONAL HEALTH","J OCCUP HEALTH","OXFORD UNIV PRESS","1341-9145","1348-9585","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,059","2.8"," 149/443 ",
"Asian Pacific Journal of Tropical Medicine","ASIAN PAC J TROP MED","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1995-7645","2352-4146","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,053","1.8"," 273/443 ",
"INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","INT J TECHNOL ASSESS","CAMBRIDGE UNIV PRESS","0266-4623","1471-6348","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,037","3"," 133/443 ",
"Rural and Remote Health","RURAL REMOTE HEALTH","COLL MEDICINE & DENTISTRY, JAMES COOK UNIV TOWNSVILLE","1445-6354","N/A","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,031","3.5"," 96/443 ",
"Conflict and Health","CONFL HEALTH","BMC","1752-1505","1752-1505","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,984","6.4"," 28/443 ",
"ETHNICITY & HEALTH","ETHNIC HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1355-7858","1465-3419","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,877","2.1"," 231/443 ",
"PUBLIC HEALTH NURSING","PUBLIC HEALTH NURS","WILEY","0737-1209","1525-1446","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,844","1.8"," 273/443 ",
"ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE","ANN AGR ENV MED","Inst Rural Health Lublin, Poland","1232-1966","1898-2263","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,811","1.5"," 325/443 ",
"SALUD PUBLICA DE MEXICO","SALUD PUBLICA MEXICO","INST NACIONAL SALUD PUBLICA","0036-3634","1606-7916","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,810","3.9"," 84/443 ",
"TOXICOLOGY AND INDUSTRIAL HEALTH","TOXICOL IND HEALTH","SAGE PUBLICATIONS INC","0748-2337","1477-0393","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,807","1.6"," 301/443 ",
"ETHNICITY & DISEASE","ETHNIC DIS","ETHNICITY & DISEASE, INC","1049-510X","1945-0826","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,782","1.6"," 301/443 ",
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","J TOXICOL ENV HEAL B","TAYLOR & FRANCIS INC","1093-7404","1521-6950","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,770","11.6"," 10/443 ",
"Epidemiology and Health","EPIDEMIOL HEALTH","KOREAN SOC EPIDEMIOLOGY","2092-7193","2092-7193","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,754","2.4"," 193/443 ",
"Safety and Health at Work","SAF HEALTH WORK-KR","ELSEVIER","2093-7911","2093-7997","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,707","3.2"," 120/443 ",
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE","J OCCUP ENVIRON HYG","TAYLOR & FRANCIS INC","1545-9624","1545-9632","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,658","1.4"," 341/443 ",
"INDUSTRIAL HEALTH","IND HEALTH","NATL INST OCCUPATIONAL SAFETY & HEALTH, JAPAN","0019-8366","1880-8026","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,653","1.6"," 301/443 ",
"Global Health-Science and Practice","GLOB HEALTH-SCI PRAC","JOHNS HOPKINS CENTER COMMUNICATION PROGRAMS-CCP","2169-575X","2169-575X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,639","2.8"," 149/443 ",
"Tobacco Induced Diseases","TOB INDUC DIS","EUROPEAN PUBLISHING","1617-9625","1617-9625","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,551","2.4"," 193/443 ",
"GeoHealth","GEOHEALTH","AMER GEOPHYSICAL UNION","2471-1403","2471-1403","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,519","5"," 53/443 ",
"Health Care for Women International","HEALTH CARE WOMEN IN","TAYLOR & FRANCIS INC","0739-9332","1096-4665","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,482","1.2"," 363/443 ",
"HERD-Health Environments Research & Design Journal","HERD-HEALTH ENV RES","SAGE PUBLICATIONS INC","1937-5867","2167-5112","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,481","2.3"," 209/443 ",
"International Health","INT HEALTH","OXFORD UNIV PRESS","1876-3413","1876-3405","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,457","2.4"," 193/443 ",
"ANNALS OF HUMAN BIOLOGY","ANN HUM BIOL","TAYLOR & FRANCIS LTD","0301-4460","1464-5033","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,452","1.8"," 273/443 ",
"WOMEN & HEALTH","WOMEN HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0363-0242","1541-0331","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,415","1.1"," 369/443 ",
"Australian Journal of Rural Health","AUST J RURAL HEALTH","WILEY","1038-5282","1440-1584","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,375","2.4"," 193/443 ",
"Economics & Human Biology","ECON HUM BIOL","ELSEVIER","1570-677X","1873-6130","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,351","2"," 246/443 ",
"Indian Journal of Community Medicine","INDIAN J COMMUN MED","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0970-0218","1998-3581","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,338","1.6"," 301/443 ",
"Pathogens and Global Health","PATHOG GLOB HEALTH","TAYLOR & FRANCIS LTD","2047-7724","2047-7732","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,286","3.4"," 101/443 ",
"Gaceta Sanitaria","GAC SANIT","ELSEVIER","0213-9111","1578-1283","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,226","1.5"," 325/443 ",
"Asia-Pacific Journal of Public Health","ASIA-PAC J PUBLIC HE","SAGE PUBLICATIONS INC","1010-5395","1941-2479","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,200","0.9"," 390/443 ",
"Revista Brasileira de Epidemiologia","REV BRAS EPIDEMIOL","ABRASCO - Brazilian Association of Collective Health","1415-790X","1980-5497","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,165","1.6"," 301/443 ",
"Current Epidemiology Reports","CURR EPIDEMIOL REP","SPRINGER HEIDELBERG","N/A","2196-2995","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,164","3.8"," 87/443 ",
"Epidemiologia e Servicos de Saude","EPIDEMIOL SERV SAUDE","MINISTERIO DA SAUDE","1679-4974","2237-9622","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,129","1.1"," 369/443 ",
"Archives of Environmental & Occupational Health","ARCH ENVIRON OCCUP H","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1933-8244","2154-4700","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,107","1.2"," 363/443 ",
"PUBLIC HEALTH REVIEWS","PUBLIC HEALTH REV","FRONTIERS MEDIA SA","N/A","2107-6952","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,091","5.2"," 46/443 ",
"Transgender Health","TRANSGENDER HEALTH","SAGE PUBLICATIONS INC","2688-4887","2380-193X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","2,066","1.8"," 273/443 ",
"Health Equity","HEALTH EQUITY","SAGE PUBLICATIONS INC","N/A","2473-1242","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,055","2.3"," 209/443 ",
"JOURNAL OF PUBLIC HEALTH DENTISTRY","J PUBLIC HEALTH DENT","WILEY","0022-4006","1752-7325","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,055","1.8"," 273/443 ",
"Sex Education-Sexuality Society and Learning","SEX EDUC-SEX SOC LEA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1468-1811","1472-0825","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,050","2.1"," 231/443 ",
"STUDIES IN FAMILY PLANNING","STUD FAMILY PLANN","WILEY","0039-3665","1728-4465","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,046","3.9"," 84/443 ",
"Journal of Preventive Medicine & Public Health","J PREV MED PUBLIC HL","Korean Soc Preventive Medicine","1975-8375","2233-4521","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,014","2.9"," 139/443 ",
"Frontiers in Global Womens Health","FRONT GLOB WOMEN HLT","FRONTIERS MEDIA SA","N/A","2673-5059","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,007","2.5"," 186/443 ",
"Health Promotion Journal of Australia","HEALTH PROMOT J AUST","WILEY","1036-1073","2201-1617","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,006","2"," 246/443 ",
"Games for Health Journal","GAMES HEALTH J","SAGE PUBLICATIONS INC","2161-783X","2161-7856","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,003","3.1"," 128/443 ",
