"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"EUROPEAN JOURNAL OF EPIDEMIOLOGY","EUR J EPIDEMIOL","SPRINGER","0393-2990","1573-7284","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","16,920","6.6"," 27/443 ",
"EPIDEMIOLOGY","EPIDEMIOLOGY","LIPPINCOTT WILLIAMS & WILKINS","1044-3983","1531-5487","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","16,601","4.4"," 60/443 ",
"BULLETIN OF THE WORLD HEALTH ORGANIZATION","B WORLD HEALTH ORGAN","WORLD HEALTH ORGANIZATION","0042-9686","1564-0604","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","16,149","6.9"," 25/443 ",
"JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH","J EPIDEMIOL COMMUN H","BMJ PUBLISHING GROUP","0143-005X","1470-2738","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","16,143","3.4"," 101/443 ",
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","N/A","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","14,537","20.5"," 5/443 ",
"Annual Review of Public Health","ANNU REV PUBL HEALTH","ANNUAL REVIEWS","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","13,577","17.2"," 6/443 ",
"BMC Womens Health","BMC WOMENS HEALTH","BMC","N/A","1472-6874","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","13,555","3.3"," 113/443 ",
"AIDS AND BEHAVIOR","AIDS BEHAV","SPRINGER/PLENUM PUBLISHERS","1090-7165","1573-3254","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","13,522","2.5"," 186/443 ",
"RISK ANALYSIS","RISK ANAL","WILEY","0272-4332","1539-6924","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","13,395","4"," 79/443 ",
"International Journal for Equity in Health","INT J EQUITY HEALTH","BMC","N/A","1475-9276","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","12,880","5.2"," 46/443 ",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","SPRINGER","0269-4042","1573-2983","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","12,699","4.3"," 66/443 ",
"PSYCHIATRIC SERVICES","PSYCHIAT SERV","AMER PSYCHIATRIC PUBLISHING, INC","1075-2730","1557-9700","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","12,686","3.3"," 113/443 ",
"PUBLIC HEALTH","PUBLIC HEALTH","W B SAUNDERS CO LTD","0033-3506","1476-5616","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","12,386","3.5"," 96/443 ",
"HEALTH & PLACE","HEALTH PLACE","ELSEVIER SCI LTD","1353-8292","1873-2054","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","12,189","4.2"," 71/443 ",
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","J HEALTH SOC BEHAV","SAGE PUBLICATIONS INC","0022-1465","2150-6000","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","11,979","3.6"," 93/443 ",
"EUROPEAN JOURNAL OF PUBLIC HEALTH","EUR J PUBLIC HEALTH","OXFORD UNIV PRESS","1101-1262","1464-360X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","11,910","5.2"," 46/443 ",
"NICOTINE & TOBACCO RESEARCH","NICOTINE TOB RES","OXFORD UNIV PRESS","1462-2203","1469-994X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","10,428","2.7"," 160/443 ",
"Journal of Hospital Infection","J HOSP INFECT","W B SAUNDERS CO LTD","0195-6701","1532-2939","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","10,307","3.4"," 101/443 ",
"Epidemiology & Infection","EPIDEMIOL INFECT","CAMBRIDGE UNIV PRESS","0950-2688","1469-4409","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","10,149","2.5"," 186/443 ",
"Environmental Health","ENVIRON HEALTH-GLOB","BMC","N/A","1476-069X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,905","7.3"," 24/443 ",
"HEALTH EXPECTATIONS","HEALTH EXPECT","WILEY","1369-6513","1369-7625","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,821","3.4"," 101/443 ",
