"Journal Data Filtered By:  Selected Categories: HEALTH POLICY & SERVICES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"Journal of Interprofessional Care","J INTERPROF CARE","TAYLOR & FRANCIS INC","1356-1820","1469-9567","HEALTH POLICY & SERVICES","SSCI","4,951","2.3"," 61/125 ",
"European Journal of Health Economics","EUR J HEALTH ECON","SPRINGER","1618-7598","1618-7601","HEALTH POLICY & SERVICES","SSCI","4,569","3.1"," 31/125 ",
"Disability and Health Journal","DISABIL HEALTH J","ELSEVIER SCIENCE INC","1936-6574","1876-7583","HEALTH POLICY & SERVICES","SSCI","4,352","3"," 35/125 ",
"International Journal of Health Policy and Management","INT J HEALTH POLICY","KERMAN UNIV MEDICAL SCIENCES","N/A","2322-5939","HEALTH POLICY & SERVICES","SSCI","4,310","4.9"," 8/125 ",
"JOURNAL OF RURAL HEALTH","J RURAL HEALTH","WILEY","0890-765X","1748-0361","HEALTH POLICY & SERVICES","SSCI","3,956","3.2"," 30/125 ",
"Journal of Genetic Counseling","J GENET COUNS","WILEY","1059-7700","1573-3599","HEALTH POLICY & SERVICES","SSCI","3,940","1.9"," 85/125 ",
"Palliative & Supportive Care","PALLIAT SUPPORT CARE","CAMBRIDGE UNIV PRESS","1478-9515","1478-9523","HEALTH POLICY & SERVICES","SSCI","3,866","2.4"," 56/125 ",
"JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED","J HEALTH CARE POOR U","JOHNS HOPKINS UNIV PRESS","1049-2089","1548-6869","HEALTH POLICY & SERVICES","SSCI","3,856","1.2"," 113/125 ",
"INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING","INQUIRY-J HEALTH CAR","SAGE PUBLICATIONS INC","0046-9580","1945-7243","HEALTH POLICY & SERVICES","SSCI","3,492","3"," 35/125 ",
"EASTERN MEDITERRANEAN HEALTH JOURNAL","E MEDITERR HEALTH J","WHO EASTERN MEDITERRANEAN REGIONAL OFFICE","1020-3397","1687-1634","HEALTH POLICY & SERVICES","SSCI","3,394","1.9"," 85/125 ",
"INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT","INT J HEALTH PLAN M","WILEY","0749-6753","1099-1751","HEALTH POLICY & SERVICES","SSCI","3,226","2.5"," 54/125 ",
"Expert Review of Pharmacoeconomics & Outcomes Research","EXPERT REV PHARM OUT","TAYLOR & FRANCIS LTD","1473-7167","1744-8379","HEALTH POLICY & SERVICES","SSCI","3,071","2.2"," 67/125 ",
"Journal of Patient Safety","J PATIENT SAF","LIPPINCOTT WILLIAMS & WILKINS","1549-8417","1549-8425","HEALTH POLICY & SERVICES","SSCI","3,051","1.9"," 85/125 ",
"International Journal of Integrated Care","INT J INTEGR CARE","UBIQUITY PRESS LTD","1568-4156","1568-4156","HEALTH POLICY & SERVICES","SSCI","3,033","2.7"," 45/125 ",
"Patient-Patient Centered Outcomes Research","PATIENT","ADIS INT LTD","1178-1653","1178-1661","HEALTH POLICY & SERVICES","SSCI","2,959","4.4"," 11/125 ",
"Journal of Patient-Reported Outcomes","J PATIENT-REP OUTCOM","SPRINGERNATURE","N/A","2509-8020","HEALTH POLICY & SERVICES","ESCI","2,912","2.9"," 40/125 ",
